trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
177,0.11581345,471,0.62465067,0.27039687,4.15878406,0.30290111,0.46821284,159,12527,2481
178,0.04573002,338,0.86472056,0.48762343,3.74406823,0.59555168,0.19354728,399,24169,5411
179,0.08882094,806,0.75151588,0.30832884,3.04886547,0.29658726,0.44251074,639,16522,5269
180,0.06697938,127,0.83576989,0.46279492,0.15738077,0.93329133,0.24169896,485,19295,2354
181,0.60073670,351,0.63856142,0.15001325,0.77419867,0.11811285,0.37276286,211,6855,5826
182,0.02667766,716,0.92365947,0.24929214,1.88862950,0.75640402,0.23029080,390,6111,7157
183,0.04865847,108,0.81897958,0.24497219,1.40040994,0.64565985,0.33480124,486,20130,3344
184,0.03694633,463,0.87288940,0.12127486,1.73529853,0.70448576,0.37836880,221,9920,2770
185,0.06234945,706,1.03811438,0.46974016,1.00567702,0.93769392,0.38593536,730,20202,6805
186,0.02516767,413,0.81523522,0.30469000,4.24527734,0.84343636,0.27042142,330,10255,4949
187,0.21489896,329,0.64056537,0.17095398,3.12562263,0.19973450,0.30558579,527,7393,2779
188,1.37812356,586,0.99552197,0.04442945,1.56065112,0.03802414,0.38278095,122,9126,4512
189,0.06490245,804,0.62150330,0.24993366,1.48416379,0.44416237,0.41633278,599,3106,5995
190,3.14690713,305,0.97109914,0.02118702,3.18818089,0.10593400,0.04956020,329,19438,5707
191,0.08745608,610,0.63503961,0.30734982,3.03228695,0.42889463,0.48473832,392,13187,3145
192,0.02303186,594,0.69804694,0.27380712,2.15181106,0.97006275,0.26376038,338,9126,2643
193,0.10999609,480,0.61168118,0.23917437,1.56146561,0.26487452,0.44985593,389,6831,7486
194,0.10128957,536,0.66711669,0.13822195,2.27130531,0.88532458,0.09048653,675,13999,3637
195,0.04279800,843,0.73076004,0.49429584,3.49169900,0.53109718,0.24676674,527,22270,4695
196,0.24102094,253,0.92463490,0.24235940,2.99797255,0.17482912,0.23231344,232,10620,6056
197,0.17887145,663,0.75211768,0.25323149,0.47857722,0.34036770,0.39818090,558,20768,3185
198,0.02283940,920,0.59203008,0.47027859,3.09077426,0.95161793,0.12967908,133,2827,7268
199,0.03290033,116,0.97716772,0.37390984,4.14674270,0.96002336,0.03651764,63,12927,5431
200,0.10178853,902,0.50688897,0.32428408,4.30927251,0.30943540,0.23635587,229,2264,6511
201,0.02725349,169,0.96619488,0.19464399,2.74040997,0.79146921,0.47665872,72,14479,4485
202,0.03645365,312,0.52234186,0.10368405,4.62437527,0.96071697,0.38235768,254,11561,4001
203,0.06269401,864,0.67788325,0.12606047,3.34963128,0.98562704,0.49774686,282,10029,2979
204,0.04760608,163,0.52076146,0.21860394,1.80631060,0.61561222,0.37265305,207,21704,3839
205,0.03514073,992,0.89822747,0.24271385,4.29088922,0.81796378,0.18452646,377,2845,3645
206,0.10770798,873,0.72176823,0.30218463,4.62838614,0.30869580,0.20863094,194,11945,2049
207,0.06827376,398,0.67136472,0.43172107,0.20772816,0.64976691,0.17240247,683,6582,3224
208,0.24692394,895,0.81735927,0.25754155,4.13130498,0.24733256,0.12648799,50,23181,6199
209,0.15628931,772,0.93584736,0.04557193,2.91720402,0.83593366,0.40198038,616,13027,5236
210,0.04880022,267,0.63443281,0.42910973,3.52715502,0.68064286,0.46181808,577,2152,4597
211,0.31539057,803,0.80540842,0.08093135,4.08210186,0.60425609,0.09132215,226,17764,6888
212,0.03221055,845,0.78935417,0.36862193,3.21448707,0.87370063,0.10168553,136,17751,6638
213,0.59134728,722,0.74616978,0.26414165,4.38633036,0.04011405,0.26203436,321,17082,3258
214,0.03094784,677,0.70447943,0.15928732,4.41452451,0.96139849,0.29167171,152,5315,6883
215,4.69854371,648,0.85031001,0.37616895,1.09573167,0.03404052,0.07857858,710,22376,7028
216,0.15428953,401,0.70652484,0.14703362,2.51851446,0.24113119,0.17946747,691,7504,5136
217,0.62429860,359,0.68798319,0.19566604,4.54964949,0.04459384,0.26403787,402,12548,7055
218,0.12295605,977,0.68331472,0.15336344,2.94111226,0.35297841,0.35737788,141,17131,2678
219,0.85918983,600,0.85424921,0.48770523,4.37163964,0.02963516,0.39688003,179,16382,5499
220,0.05909224,412,0.90541652,0.15171404,0.03220073,0.81244852,0.31373629,549,21536,5145
221,0.06379302,578,0.86677198,0.01832131,0.48329035,0.63839001,0.20315390,459,13130,4378
222,0.03703066,110,0.64438982,0.27864379,4.65350391,0.89784893,0.32959325,299,10420,7034
223,0.04971029,249,0.51550788,0.39004184,0.45416612,0.91917172,0.01991923,690,8500,5655
224,0.12267502,347,0.51332440,0.03263037,2.16465310,0.31499380,0.40373746,411,7816,3022
225,0.02566154,307,0.64205538,0.19401925,4.76017211,0.91817016,0.26120302,651,11468,7110
226,0.03421465,185,0.63668587,0.24623852,3.01224997,0.70533050,0.32878350,242,20458,4263
227,1.73902235,736,0.59206789,0.06614427,2.89255279,0.90128658,0.01060225,581,12921,2102
228,0.04679292,902,0.91146171,0.17911836,2.21130468,0.44871137,0.07757158,710,15017,6479
229,1.36072044,557,0.60152083,0.16289547,1.88694584,0.41323993,0.00397576,562,14008,2732
230,0.60715342,440,0.93394633,0.07832830,4.11835939,0.24348082,0.03966574,265,17272,7282
231,0.42379856,247,1.01546760,0.29699785,3.35323559,0.04737465,0.41084455,54,23196,4642
232,1.01511544,131,0.93607333,0.03846275,4.19401247,0.02969871,0.41982376,484,15574,6748
233,0.04229148,147,0.92798145,0.33647434,1.23950265,0.74523503,0.42976160,495,7842,3414
234,0.09004786,981,0.71390279,0.25251488,2.87959458,0.43488518,0.35172571,727,14529,3374
235,0.10067180,788,0.96365146,0.41974017,3.51251735,0.26645708,0.40652794,231,19684,5414
236,0.05028335,230,0.59643212,0.10584871,4.11316467,0.50956617,0.07004285,98,17476,4545
237,0.06002510,421,0.54256315,0.19005832,1.17808020,0.43270014,0.25175043,691,16828,7162
238,0.05459075,105,1.01907432,0.29344752,2.28127907,0.47114215,0.33567238,616,6257,6130
239,0.03674911,861,0.91108577,0.35096517,4.31143755,0.80253550,0.36059274,391,10995,5786
240,0.08170612,403,1.01016890,0.30225489,0.34940467,0.59503975,0.48122585,225,4673,6414
241,0.14158750,843,0.66377352,0.22823190,1.65826162,0.15123075,0.13648890,193,6601,6562
242,0.19194713,999,0.74282517,0.10551121,0.04313718,0.18779918,0.48054963,651,16945,3287
243,0.06358582,668,1.04724604,0.17090805,4.44999624,0.58591561,0.25547556,675,21690,2169
244,0.02933331,918,1.04856432,0.16703225,3.29684233,0.72135051,0.21232745,736,8439,5645
245,0.04070737,674,0.56392815,0.23418059,4.54991720,0.69893276,0.39708517,514,23628,3695
246,0.58418366,425,0.66764042,0.31256652,3.96752513,0.20963315,0.02808782,446,8412,5813
247,0.02159698,722,0.64083327,0.36701536,4.49555476,0.98469510,0.16849363,382,17946,6562
248,0.67792877,881,0.50348845,0.20518636,1.73896174,0.73309172,0.02147819,156,22008,6359
249,1.21823410,377,0.55909729,0.16975707,3.96542881,0.03888836,0.13960413,111,21868,7207
250,0.06391987,998,0.79420897,0.46231346,4.80107628,0.50624387,0.09315654,335,7185,6451
251,0.08142199,581,0.88230186,0.13107878,4.75406131,0.43294825,0.49736721,576,2726,2541
252,0.19925782,736,0.64562607,0.30092221,0.57834379,0.26892301,0.34377128,195,13020,3178
253,0.17810079,314,0.76336438,0.03092841,4.38049288,0.24710015,0.30810929,659,13456,2421
254,0.02319615,643,0.66004575,0.32421494,2.66964652,0.97567735,0.28524400,571,13779,4891
255,0.16605021,152,0.65521270,0.01576781,1.95074832,0.20558801,0.07836248,613,17718,3496
256,0.02677466,629,0.61167282,0.08472348,3.26304022,0.91723588,0.31161935,223,12351,5624
257,0.05799521,982,0.78174938,0.12181914,4.43692419,0.68665843,0.26412115,731,8442,6761
258,0.67152440,925,0.85329558,0.28257613,1.60649016,0.28060554,0.02603522,248,6052,5371
259,0.44649636,470,0.72911472,0.42742455,4.58211450,0.94426840,0.04593749,580,24603,3642
260,0.07632090,844,0.72949404,0.36546670,4.07142725,0.38888085,0.18341916,177,5461,3229
261,0.14231869,126,1.04688025,0.07515992,4.35688622,0.39785423,0.02842663,195,10898,5628
262,0.10554913,550,0.74770966,0.07047689,1.85276535,0.26624269,0.35195359,553,16773,5567
263,0.03811063,910,0.93958194,0.28562967,3.09419398,0.98985679,0.21680663,95,9866,5350
264,0.60917239,440,0.64532029,0.18612480,4.14265733,0.07583248,0.37128334,122,18680,3597
265,0.10140526,874,0.56518836,0.28398072,4.21964394,0.24288733,0.42788591,732,4429,7138
